project_sample_id,group,n_pred_points,rmse,bias,r2,ci_inside_count,ci_total_count,ci_outside_count,ci_coverage_pct
014_jetti_project_file_bag,Catalyzed,132,7.038516991995242,-5.968916982903034,-0.09982837261750821,0,0,0,
014_jetti_project_file_kmb,Overall,280,3.641202771194651,-1.4185684468213806,0.7171075332537564,0,0,0,
014_jetti_project_file_kmb,Control,149,1.599172581777441,0.1285704697986573,0.9211396712912461,0,0,0,
014_jetti_project_file_kmb,Catalyzed,131,5.042789837989892,-3.1782913367174532,0.45676709617297095,0,0,0,
015_jetti_project_file_amcf_6in,Overall,141,7.5704201955874,7.419585912559241,-8.462831986709697,0,0,0,
015_jetti_project_file_amcf_6in,Control,75,8.412716930932598,8.397626666666667,-22.11437683380024,0,0,0,
015_jetti_project_file_amcf_6in,Catalyzed,66,6.481737130635885,6.308175964709891,-5.715963943670505,0,0,0,
015_jetti_project_file_amcf_8in,Overall,135,13.05148153302289,13.001203942928694,-46.10488030759409,0,0,0,
015_jetti_project_file_amcf_8in,Control,68,13.780435272302455,13.775235294117648,-127.9889497062297,0,0,0,
015_jetti_project_file_amcf_8in,Catalyzed,67,12.267437196578024,12.215619885005575,-32.41406321603573,0,0,0,
017_jetti_project_file_ea_mill_feed_combined,Overall,306,27.586091433274504,-25.853358134520974,-3.1563257103191935,0,0,0,
017_jetti_project_file_ea_mill_feed_combined,Control,171,20.282886196688978,-19.426690058479537,-2.7345636666138584,0,0,0,
017_jetti_project_file_ea_mill_feed_combined,Catalyzed,135,34.6960410828291,-33.993804364173464,-11.158996940149693,0,0,0,
020_jetti_project_file_hypogene_supergene_hypogene_master_composite,Overall,267,27.408096647151645,-25.817071451304393,-4.602730967500979,0,0,0,
020_jetti_project_file_hypogene_supergene_hypogene_master_composite,Control,146,23.965586420235024,-22.144342465753425,-3.243485953071838,0,0,0,
020_jetti_project_file_hypogene_supergene_hypogene_master_composite,Catalyzed,121,31.057983877379396,-30.248628739655153,-11.274443306689287,0,0,0,
022_jetti_project_file_stingray_1,Overall,103,17.431001339818028,17.381029126213594,-55.42326944024806,0,0,0,
022_jetti_project_file_stingray_1,Control,54,18.405021657246255,18.39461111111111,-93.12255793805711,0,0,0,
022_jetti_project_file_stingray_1,Catalyzed,49,16.290274922198716,16.264020408163265,-60.10331133071036,0,0,0,
024_jetti_project_file_024cv_cpy,Overall,220,14.464998686265288,13.970255727346458,-2.8272145392944057,0,0,0,
024_jetti_project_file_024cv_cpy,Control,117,15.452595392603836,15.152179487179488,-3.5469453821976833,0,0,0,
024_jetti_project_file_024cv_cpy,Catalyzed,103,13.25419322826108,12.627682136079809,-2.618467356094628,0,0,0,
